Date,Money_hp_cycle,Lending_hp_cycle,Loan interests average percentage_hp_cycle,Deposit interest average percentage_hp_cycle,UK Total Reserve Assets_hp_cycle,Whole economy_hp_cycle,Whole economy_hp_cycle_lsi,Whole economy_hp_cycle_alch,House Price_hp_cycle,Buyers income_hp_cycle,Rental price_hp_cycle,Construction Price Index_hp_cycle,Repair Price Index_hp_cycle
2016-04-30 23:59:59.999999999,-2.238082974393939,-0.9169303195432636,-0.22053469484271115,0.17854375803540656,4448.992905457126,1.1148244311295628,0.969043990002703,0.9218711101818968,-5915.769097415032,283.16477557170583,-8.608965973093405,-0.07683779193499163,-0.22549288315863691
2016-05-31 23:59:59.999999999,-1.45216197322699,-0.13412893988254915,-0.07585213206192698,0.1857784856710074,-1442.3520069535007,0.9559316423465702,0.9536061795894142,0.6835675098400458,-6682.915251442231,311.5046341125708,-6.054065812196313,-0.5889766336086524,-0.25682102023999676
2016-06-30 23:59:59.999999999,-0.16608554963126387,1.1487361154948017,0.01884574562822028,0.09300081443452268,1194.16394689781,0.7969614352003305,0.9381010744545932,0.44519989067110544,-7449.6505881709745,339.824828432902,-6.498567806439951,-0.8011101393245212,-0.28813349809337296
2016-07-31 23:59:59.999999999,0.9204025634034911,0.9317378368151354,-0.17642047935373295,0.16018544417013914,5902.635919593449,0.7389700071857135,0.24049515722536796,0.5629567638819992,-4051.100198965869,1271.0840620459348,-3.9414536897279504,-0.31319207196972343,-0.31939682269769776
2016-08-31 23:59:59.999999999,1.3075701666062525,1.1148694409634494,-0.10163153332158537,0.10730061633215304,3299.964426466846,0.5793582112535205,0.224389764620895,0.324095724020637,-4813.871838345251,1299.217439518463,-2.381253906533175,-0.6251205617828077,-0.250557490761139
2016-09-30 23:59:59.999999999,1.6956211438613167,1.0980594408082966,-0.45675589116695825,-0.005696551614318368,1834.8159856632992,0.41907558299296,0.20766953230781837,0.0847352714151981,-5572.291934424487,1327.0717956907756,-0.8162251892661061,-0.6367719895528268,-0.18153981865701496
2016-10-31 23:59:59.999999999,1.7846685755691887,0.7811589277292708,-0.1517549700361016,-0.11885639363584699,135.8399595017254,-0.27476857521584463,-0.7577964866698181,-0.3573286002536378,8390.64738133637,468.40374196985067,0.755541094516957,-0.3479793249187537,-0.01225072293286189
2016-11-30 23:59:59.999999999,1.0747077906620524,0.7639427389781366,-0.13655846791615556,-0.20222884810514252,-6750.902643288457,-0.43729406346385247,-0.7764536607632095,-0.598305781698997,7647.340942195035,494.87773199909134,2.336010259565114,0.041468682757567876,-0.0425845132043321
2016-12-31 23:59:59.999999999,1.5656101827543418,1.046131464658898,-0.19108554425467617,-0.22585559947869016,-10954.59285475983,-0.6014016006909344,-0.7963947336675403,-0.8403813491479184,6914.60089756333,520.1256913842735,2.927095152495781,-0.2681925506548595,-0.07243464834245117
2017-01-31 23:59:59.999999999,1.05717251297503,0.22739264329646236,-0.21524587527227723,-0.20976428854296736,-5860.163056140242,-0.1174615381936519,-0.5986585286848936,-0.23159882981477153,-4368.291668490216,-1305.2548207779982,4.530546396991781,0.22326951094336778,0.19830837003964064
2017-02-28 23:59:59.999999999,1.0490828195237318,-0.39267883460263864,-0.2889358673601121,-0.2439668716678216,-7068.682578807784,-0.28550246326851436,-0.6215285639274981,-0.4762433910980519,-5076.535852514789,-1283.7023652308053,4.147911346239084,0.11610602813432536,0.169759070512697
2017-03-31 23:59:59.999999999,1.5409557258422142,-0.31450386968766075,-0.402036979279111,-0.218460738258618,-6736.927833633497,-0.4558448061608118,-0.6459467839986957,-0.7222841171441843,-5771.027397471713,-1264.5648600213462,2.7804227321461212,0.11055265667292247,0.24201821023289938
2017-04-30 23:59:59.999999999,2.132333002398667,0.06152390675565478,-0.024410604799409263,-0.22322633557685612,1315.8588781991857,0.49601082944415964,0.25408802820406606,0.20564298035813522,7241.69049088977,-116.1010771992369,4.429025237222163,-0.19316301060455032,0.3151747575320343
2017-05-31 23:59:59.999999999,1.6226494088469865,0.13503270398806855,-0.005890218456475971,-0.158228939999434,1935.3948783710366,0.3204954957503503,0.22662194719880802,-0.04324795166057527,6579.475372611894,-102.48197180991701,3.0944704590642687,-0.3948210581296365,0.18930087392178052
2017-06-30 23:59:59.999999999,1.0111916261603433,-0.8943535412231771,0.34369240039510984,-0.0834183260743907,-2179.199850116798,0.14210579976524684,0.19768340250162453,-0.293557047032337,5935.681912563799,-91.87043632403947,4.777202424072584,-0.19418815623593844,0.26444683377781075
2017-07-31 23:59:59.999999999,-0.5028663486748153,-1.0270202693819557,0.2745058814437158,-0.048733280228932085,7461.165855215251,-0.08528390813533804,0.2810850859933396,0.8623185637408142,3462.2078676025267,475.57775359133666,5.477450264864956,0.10899644287194121,0.14064976558181286
2017-08-31 23:59:59.999999999,0.2795792596872504,-0.6632908131073347,-0.12330501315009457,0.005893204049046807,6046.065053054335,-0.2701091460339029,0.24922596154074483,0.6092021360628479,2857.538794452441,479.71320216055756,5.195111363891328,0.11500697227803869,0.21792843345197355
2017-09-30 23:59:59.999999999,-0.24233285213350797,-0.6034171841663372,0.020385415865806777,0.050531517527222625,-1338.011744219286,-0.45849950951934204,0.21588547321297824,0.35465704210417925,2272.9198187360307,480.3534873750832,3.929702725110701,0.8241100958690168,0.09629183416164722
2017-10-31 23:59:59.999999999,-0.469483402743502,-0.24760533246396665,-0.11428856940831622,-0.08474835827700977,-2624.868319354544,-0.6888658366009537,-1.0883742422792722,0.43280434833130244,4576.397625881422,-509.7171261904514,3.6803805808591505,0.33656449093616914,0.07573383056521266
2017-11-30 23:59:59.999999999,0.19726371792113895,-0.29601930393410747,0.7028058774739199,-0.0698799509794168,-4572.590716265171,-0.8849871250443613,-1.124806040272091,0.17514049224945438,4031.861059662886,-516.7477318424717,3.4460282674507425,0.5525716049030223,0.056241598584080066
2017-12-31 23:59:59.999999999,0.15707722293836746,0.051194050304117944,0.8518095396651111,-0.0447909028931065,222.75485578650841,-1.0851945347097995,-1.16278719455687,-0.08426814449362041,3506.8811584641226,-527.9520258647317,3.225273539214868,0.3723095126590579,-0.062202945154041345
